index_drug,comparator,a_index_with_SD,n_index,c_comparator_with_SD,n_comparator,PRR,chi_square,PRR_signal_threshold_met_PRR_ge2_chi2_ge4_N_ge3
vortioxetine,bupropion,207,7159,64,6137,2.7726441367509427,56.55529704152194,True
vortioxetine,duloxetine,207,7159,171,9697,1.639680637548614,23.905169224158104,False
vortioxetine,escitalopram,207,7159,289,5118,0.5120594929507756,58.43996350646301,False
vortioxetine,mirtazapine,207,7159,36,3542,2.8448805699119992,37.541772531619785,True
vortioxetine,paroxetine,207,7159,119,3670,0.89173761416845,1.0239831172841496,False
vortioxetine,sertraline,207,7159,530,11857,0.6468698853797964,29.85369149457616,False
vortioxetine,venlafaxine,207,7159,240,8871,1.0687578572426315,0.5057336637488161,False
vortioxetine,pooled_snri,207,7159,411,18568,1.3062950724064344,10.130296425329128,False
vortioxetine,pooled_ssri,207,7159,1483,30857,0.6016314524992802,50.14333139311487,False
